ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
1;Eriberto;Torp;EribertoTorp@example.org;4-10-1960;10019802;ja;27-7-2020;21-3-2021;25-4-2021;PFI;Nee
2;Shanel;Krajcik;ShanelKrajcik@example.org;28-2-1954;19895101;nee;nvt;13-4-2021;VOLDAAN;AZ;Ja, 30 uur oud
3;Abraham;Morissette;AbrahamMorissette@example.org;8-12-1969;94985155;ja;29-1-2021;16-3-2021;25-4-2021;PFI;Nee
4;Laury;Goldner;LauryGoldner@example.org;17-1-1972;28941391;nee;nvt;10-1-2021;25-2-2021;PFI;Nee
5;Aiden;Welch;AidenWelch@example.org;23-9-1958;19045973;nee;nvt;13-5-2021;nog inplannen;PFI;Nee
6;Parker;Cassin;ParkerCassin@example.org;12-12-1971;37906575;ja;15-10-2020;19-5-2021;nog inplannen;PFI;Nee
7;Otto;Nicolas;OttoNicolas@example.org;12-7-1940;84929484;ja;25-10-2020;9-3-2021;11-4-2021;PFI;Nee
8;Maymie;Von;MaymieVon@example.org;6-3-1960;28684284;ja;4-12-2020;17-5-2021;VOLDAAN;JANS;Nee
9;Ambrose;Herman;AmbroseHerman@example.org;21-5-1996;59032663;nee;nvt;16-1-2021;16-2-2021;AZ;Ja, 30 uur oud
10;Trisha;Vandervort;TrishaVandervort@example.org;5-5-1992;83965467;ja;16-5-2020;5-2-2021;10-4-2021;ONB;Nee
11;Katheryn;Dach;KatherynDach@example.org;17-6-1967;49751908;ja;3-12-2020;12-4-2021;10-5-2021;PFI;Nee
12;Estelle;Morissette;EstelleMorissette@example.org;26-9-1966;13289735;nee;nvt;19-4-2021;nog inplannen;PFI;Nee
13;Jarrod;Kerluke;JarrodKerluke@example.org;29-7-1985;16945082;nee;nvt;15-5-2021;nog inplannen;PFI;Nee
14;Gregoria;Hammes;GregoriaHammes@example.org;28-4-1931;33281162;nee;nvt;13-5-2021;nog inplannen;PFI;Nee
15;Rod;Mraz;RodMraz@example.org;21-4-1988;90136492;ja;19-7-2020;22-4-2021;VOLDAAN;AZ;Nee
16;Damion;Grady;DamionGrady@example.org;4-5-1953;37312910;nee;nvt;16-2-2021;6-4-2021;MOD;Ja, 30 uur oud
17;Grace;Runolfsson;GraceRunolfsson@example.org;14-12-1968;94080338;ja;4-6-2020;25-4-2021;3-6-2021;MOD;Nee
18;Derrick;Erdman;DerrickErdman@example.org;8-6-1995;95075436;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
19;Casey;Welch;CaseyWelch@example.org;28-11-1998;69272024;ja;27-7-2020;4-4-2021;22-5-2021;PFI;Nee
20;Nestor;Sipes;NestorSipes@example.org;8-4-1944;35267197;ja;15-1-2021;19-3-2021;23-4-2021;PFI;Nee
21;Nick;Howe;NickHowe@example.org;4-6-1947;76979085;ja;28-11-2020;4-2-2021;27-3-2021;PFI;Nee
22;Leola;Miller;LeolaMiller@example.org;23-2-1995;26495790;nee;nvt;30-1-2021;14-3-2021;PFI;Nee
23;Tiara;Hills;TiaraHills@example.org;11-9-1954;35849076;nee;nvt;8-2-2021;31-3-2021;ONB;Ja, 70 uur oud
